"Common.Name","t60","t65","t70","t75","t80","t85","t90","t95"
"Ring-necked Duck",0.475511956158267,0.501090501241367,0.528427730859355,0.5585262185732,0.592980250450371,0.634694945582653,0.690100711525893,0.779590294941123
"Ring-necked Pheasant",0.25,0.25,0.25,0.25,0.254839879688036,0.306082536192393,0.374143410749596,0.484073112240231
"Rose-breasted Grosbeak",0.25,0.25,0.25,0.287604278306378,0.387257933275425,0.50791208053666,0.668165809397397,0.927002397834352
"Ruby-crowned Kinglet",0.739613461967698,0.792614806580726,0.849260324261313,0.91162744930575,0.983019704451518,1.06945679166467,1.18426316883609,1.36969467928586
"Ruby-throated Hummingbird",0.25,0.25,0.265027665412284,0.300670288358496,0.341470745805064,0.390869279181616,0.456480775790217,0.562454322023086
"Sandhill Crane",0.31673687968739,0.350636640098053,0.386867220505589,0.426757351821024,0.472419973444844,0.527705298157177,0.601135674464469,0.719738019796092
"Savannah Sparrow",0.25,0.300823092653467,0.356544007832671,0.417893138829544,0.488120086279488,0.573146294921453,0.686078732761853,0.868483517613256
"Scarlet Tanager",0.468223620833998,0.49130349915358,0.515970263081232,0.543128548737517,0.574216902698255,0.611856654477087,0.661850050583815,0.742597751025082
"Sedge Wren",0.25,0.25,0.25,0.262741917279616,0.279078879411825,0.298858607867476,0.325130189183349,0.367563189207666
"Solitary Sandpiper",0.945750019560871,0.989109462040583,1.03545013666945,1.08647155491334,1.1448762690407,1.2155888884751,1.3095099114909,1.46120808009353
"Song Sparrow",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Sora",0.296311163089483,0.323038252708106,0.35160299646312,0.383052986128266,0.419054095445171,0.462641891060282,0.520535522888929,0.614043426020307
"Spotted Sandpiper",0.650880880199104,0.695329968346676,0.742835208580342,0.79513882198583,0.855011277396105,0.927500942267974,1.02378225014901,1.17929267377123
"Swainson1s Thrush",0.256463563534886,0.295292058412531,0.336790254527381,0.382480068870811,0.434781644113293,0.498104980956893,0.58221150430018,0.718057613605928
"Swamp Sparrow",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.409572573371852
"Tennessee Warbler",0.25,0.25,0.25,0.25,0.25,0.25,0.266630161179329,0.306430403621744
"Tree Swallow",0.43935563887127,0.469181415105972,0.501057899511705,0.536154139608223,0.576329147288029,0.624970426871062,0.689576133402322,0.793925160354713
"Trumpeter Swan",0.936299696988045,0.961965582110713,0.989396156940821,1.01959741840897,1.05416909640314,1.09602622978246,1.15162118325666,1.2414163361924
"Tufted Titmouse",0.448780535820048,0.496275000662398,0.547035006235843,0.602922139842892,0.666896685711363,0.744352894222556,0.847230802020109,1.01339583836064
"Upland Sandpiper",0.599060954780219,0.625254367018486,0.653248739744136,0.684070746776821,0.719352998261306,0.762070447687914,0.818808079285543,0.910448848602586
"Veery",0.25,0.25,0.25,0.25,0.25,0.290439092116986,0.356108675407551,0.462176041351825
"Vesper Sparrow",0.745962441771564,0.76489978577016,0.785139190300893,0.807422921209858,0.832931324900406,0.863815236747235,0.904835476395897,0.971090027619181
"Virginia Rail",0.590233316993665,0.617015559991535,0.645639249264669,0.677154138371993,0.713229538712118,0.756907281053804,0.814920380788526,0.908621244579577
"Warbling Vireo",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"Western Kingbird",0.913175107196087,0.945336294205126,0.979708763444357,1.01755310091193,1.06087388240349,1.11332385978945,1.18298830685204,1.29550804627537
"Western Meadowlark",0.25,0.25,0.25,0.25,0.25,0.25,0.310945729168909,0.415914523932527
"White-breasted Nuthatch",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"White-eyed Vireo",0.749986242012428,0.771236120880975,0.793947061479692,0.818951971491882,0.847575335390976,0.882230637939245,0.928260066551697,1.00260529617255
"Wild Turkey",0.261773264024999,0.294670123969611,0.329828848247905,0.368538858205476,0.412850583423161,0.466500330855651,0.537758321348745,0.652851900070608
"Willow Flycatcher",0.262389135120112,0.291077655014896,0.32173868961307,0.35549671067237,0.394139845993494,0.44092643441435,0.503068726455759,0.603438926787441
"Wilson1s Snipe",0.439577488775511,0.457239260147566,0.476115388476588,0.496898142418202,0.520688363163094,0.549492011137902,0.587749228958694,0.64954103757507
"Wilson1s Warbler",0.25,0.274913566122406,0.334215025127241,0.399506360797029,0.474245988311112,0.564735855713716,0.684925165443645,0.879051012737482
"Wood Duck",0.281206639154769,0.312223659735134,0.345373293966345,0.381871281237522,0.423650882553348,0.474234899479179,0.541420964087203,0.649937701122119
"Wood Thrush",0.25,0.25,0.25,0.25,0.25,0.277053275920052,0.326745965753063,0.407007975243087
"Yellow Warbler",0.25,0.25,0.25,0.25,0.25,0.25,0.274145293411466,0.703315289510307
"Yellow-bellied Flycatcher",0.655540332606958,0.700846716066899,0.749268196013517,0.802580595975967,0.863607819177943,0.93749560159237,1.03563389951201,1.19414367278913
"Yellow-bellied Sapsucker",0.29333889737697,0.321670399840336,0.351949869831587,0.385287785496375,0.423450022082923,0.469654369674203,0.531023325148636,0.630144457517078
"Yellow-billed Cuckoo",0.762367032106971,0.792019350361658,0.823710450469208,0.85860258111136,0.898543942711869,0.946902338857587,1.01113231751963,1.11487448109018
"Yellow-breasted Chat",0.478146084464081,0.530837864797126,0.587152533722403,0.649155391892106,0.720130667200441,0.806062902416683,0.920198731439822,1.10454719442283
"Yellow-headed Blackbird",0.361207161053793,0.383151120264851,0.406603863559339,0.432425503709761,0.461983786548477,0.497771027985025,0.545303906182979,0.622077458466679
"Yellow-throated Vireo",0.25,0.25,0.25,0.266203334739294,0.3329089941133,0.413671856767649,0.520941687002365,0.694200413008633
