Coccyzus erythropthalmus,Black-billed Cuckoo ,Other Land Birds,https://www.allaboutbirds.org/guide/Black-billed_Cuckoo
Megascops asio,Eastern Screech-Owl ,Raptors,https://www.allaboutbirds.org/guide/Eastern_Screech-Owl
Bubo virginianus,Great Horned Owl ,Raptors,https://www.allaboutbirds.org/guide/Great_Horned_Owl
Surnia ulula,Northern Hawk Owl ,Raptors,https://www.allaboutbirds.org/guide/Northern_Hawk_Owl
Strix varia,Barred Owl ,Raptors,https://www.allaboutbirds.org/guide/Barred_Owl
Strix nebulosa,Great Gray Owl ,Raptors,https://www.allaboutbirds.org/guide/Great_Gray_Owl
Asio otus,Long-eared Owl ,Raptors,https://www.allaboutbirds.org/guide/Long-eared_Owl
Asio flammeus,Short-eared Owl ,Raptors,https://www.allaboutbirds.org/guide/Short-eared_Owl
Aegolius funereus,Boreal Owl ,Raptors,https://www.allaboutbirds.org/guide/Boreal_Owl
Aegolius acadicus,Northern Saw-whet Owl ,Raptors,https://www.allaboutbirds.org/guide/Northern_Saw-whet_Owl
Chordeiles minor,Common Nighthawk ,Other Land Birds,https://www.allaboutbirds.org/guide/Common_Nighthawk
Antrostomus vociferus,Eastern Whip-poor-will ,Other Land Birds,https://www.allaboutbirds.org/guide/Eastern_Whip-poor-will
Chaetura pelagica,Chimney Swift ,Other Land Birds,https://www.allaboutbirds.org/guide/Chimney_Swift
Archilochus colubris,Ruby-throated Hummingbird ,Other Land Birds,https://www.allaboutbirds.org/guide/Ruby-throated_Hummingbird
Megaceryle alcyon,Belted Kingfisher ,Other Land Birds,https://www.allaboutbirds.org/guide/Belted_Kingfisher
Melanerpes erythrocephalus,Red-headed Woodpecker ,Other Land Birds,https://www.allaboutbirds.org/guide/Red-headed_Woodpecker
Melanerpes carolinus,Red-bellied Woodpecker ,Other Land Birds,https://www.allaboutbirds.org/guide/Red-headed_Woodpecker
Sphyrapicus varius,Yellow-bellied Sapsucker ,Other Land Birds,https://www.allaboutbirds.org/guide/Yellow-bellied_Sapsucker
Picoides pubescens,Downy Woodpecker ,Other Land Birds,https://www.allaboutbirds.org/guide/Downy_Woodpecker
Picoides villosus,Hairy Woodpecker ,Other Land Birds,https://www.allaboutbirds.org/guide/Hairy_Woodpecker
Picoides dorsalis,American Three-toed Woodpecker ,Other Land Birds,https://www.allaboutbirds.org/guide/American_Three-toed_Woodpecker
Picoides arcticus,Black-backed Woodpecker ,Other Land Birds,https://www.allaboutbirds.org/guide/Black-backed_Woodpecker
Colaptes auratus,Northern Flicker ,Other Land Birds,https://www.allaboutbirds.org/guide/Northern_Flicker
Dryocopus pileatus,Pileated Woodpecker ,Other Land Birds,https://www.allaboutbirds.org/guide/Pileated_Woodpecker
Falco sparverius,American Kestrel ,Raptors,https://www.allaboutbirds.org/guide/American_Kestrel
Falco columbarius,Merlin ,Raptors,https://www.allaboutbirds.org/guide/Merlin
Falco peregrinus,Peregrine Falcon ,Raptors,https://www.allaboutbirds.org/guide/Peregrine_Falcon
Contopus cooperi,Olive-sided Flycatcher ,Song Birds,https://www.allaboutbirds.org/guide/Olive-sided_Flycatcher
Contopus sordidulus,Western Wood-Pewee ,Song Birds,https://www.allaboutbirds.org/guide/Western_Wood-Pewee
Contopus virens,Eastern Wood-Pewee ,Song Birds,https://www.allaboutbirds.org/guide/Eastern_Wood-Pewee
Empidonax flaviventris,Yellow-bellied Flycatcher ,Song Birds,https://www.allaboutbirds.org/guide/Yellow-bellied_Flycatcher
Empidonax virescens,Acadian Flycatcher ,Song Birds,https://www.allaboutbirds.org/guide/Acadian_Flycatcher
Empidonax alnorum,Alder Flycatcher ,Song Birds,https://www.allaboutbirds.org/guide/Alder_Flycatcher
Empidonax traillii,Willow Flycatcher ,Song Birds,https://www.allaboutbirds.org/guide/Willow_Flycatcher
Empidonax minimus,Least Flycatcher ,Song Birds,https://www.allaboutbirds.org/guide/Least_Flycatcher
Sayornis phoebe,Eastern Phoebe ,Song Birds,https://www.allaboutbirds.org/guide/Eastern_Phoebe
Myiarchus crinitus,Great Crested Flycatcher ,Song Birds,https://www.allaboutbirds.org/guide/Great_Crested_Flycatcher
Tyrannus verticalis,Western Kingbird ,Song Birds,https://www.allaboutbirds.org/guide/Western_Kingbird
Tyrannus tyrannus,Eastern Kingbird ,Song Birds,https://www.allaboutbirds.org/guide/Eastern_Kingbird
Lanius ludovicianus,Loggerhead Shrike ,Song Birds,https://www.allaboutbirds.org/guide/Loggerhead_Shrike
Vireo griseus,White-eyed Vireo ,Song Birds,https://www.allaboutbirds.org/guide/White-eyed_Vireo
Vireo bellii,Bell's Vireo ,Song Birds,https://www.allaboutbirds.org/guide/Bells_Vireo
Vireo flavifrons,Yellow-throated Vireo ,Song Birds,https://www.allaboutbirds.org/guide/Yellow-throated_Vireo
Vireo solitarius,Blue-headed Vireo ,Song Birds,https://www.allaboutbirds.org/guide/Blue-headed_Vireo
Vireo gilvus,Eastern Warbling Vireo ,Song Birds,https://www.allaboutbirds.org/guide/Eastern_Warbling_Vireo
Vireo philadelphicus,Philadelphia Vireo ,Song Birds,https://www.allaboutbirds.org/guide/Philadelphia_Vireo
Vireo olivaceus,Red-eyed Vireo ,Song Birds,https://www.allaboutbirds.org/guide/Red-eyed_Vireo
Perisoreus canadensis,Canada Jay ,Other Land Birds,https://www.allaboutbirds.org/guide/canada_jay
Cyanocitta cristata,Blue Jay ,Other Land Birds,https://www.allaboutbirds.org/guide/blue_jay
Pica hudsonia,Black-billed Magpie ,Other Land Birds,https://www.allaboutbirds.org/guide/Black-billed_Magpie
Corvus brachyrhynchos,American Crow ,Other Land Birds,https://www.allaboutbirds.org/guide/american_crow
Corvus corax,Common Raven ,Other Land Birds,https://www.allaboutbirds.org/guide/common_raven
Eremophila alpestris,Horned Lark ,Song Birds,https://www.allaboutbirds.org/guide/Horned_Lark
Progne subis,Purple Martin ,Song Birds,https://www.allaboutbirds.org/guide/Purple_Martin
Tachycineta bicolor,Tree Swallow ,Song Birds,https://www.allaboutbirds.org/guide/Tree_Swallow
Stelgidopteryx serripennis,Northern Rough-winged Swallow ,Song Birds,https://www.allaboutbirds.org/guide/Northern_Rough-winged_Swallow
Riparia riparia,Bank Swallow ,Song Birds,https://www.allaboutbirds.org/guide/Bank_Swallow
Petrochelidon pyrrhonota,Cliff Swallow ,Song Birds,https://www.allaboutbirds.org/guide/Cliff_Swallow
Hirundo rustica,Barn Swallow ,Song Birds,https://www.allaboutbirds.org/guide/Barn_Swallow
Poecile atricapillus,Black-capped Chickadee ,Song Birds,https://www.allaboutbirds.org/guide/Black-capped_Chickadee
Poecile hudsonicus,Boreal Chickadee ,Song Birds,https://www.allaboutbirds.org/guide/Boreal_Chickadee
Baeolophus bicolor,Tufted Titmouse ,Song Birds,https://www.allaboutbirds.org/guide/Tufted_Titmouse
Sitta canadensis,Red-breasted Nuthatch ,Song Birds,https://www.allaboutbirds.org/guide/Red-breasted_Nuthatch
Sitta carolinensis,White-breasted Nuthatch ,Song Birds,https://www.allaboutbirds.org/guide/White-breasted_Nuthatch
Certhia americana,Brown Creeper ,Song Birds,https://www.allaboutbirds.org/guide/Brown_Creeper
Salpinctes obsoletus,Rock Wren ,Song Birds,https://www.allaboutbirds.org/guide/Rock_Wren
Troglodytes aedon,Northern House Wren ,Song Birds,https://www.allaboutbirds.org/guide/Northern_House_Wren
Troglodytes hiemalis,Winter Wren ,Song Birds,https://www.allaboutbirds.org/guide/Winter_Wren
Cistothorus platensis,Sedge Wren ,Song Birds,https://www.allaboutbirds.org/guide/Sedge_Wren
Cistothorus palustris,Marsh Wren ,Song Birds,https://www.allaboutbirds.org/guide/Marsh_Wren
Polioptila caerulea,Blue-gray Gnatcatcher ,Song Birds,https://www.allaboutbirds.org/guide/Blue-gray_Gnatcatcher
Regulus satrapa,Golden-crowned Kinglet ,Song Birds,https://www.allaboutbirds.org/guide/Golden-crowned_Kinglet
Regulus calendula,Ruby-crowned Kinglet ,Song Birds,https://www.allaboutbirds.org/guide/Ruby-crowned_Kinglet
Sialia sialis,Eastern Bluebird ,Song Birds,https://www.allaboutbirds.org/guide/Eastern_Bluebird
Sialia currucoides,Mountain Bluebird ,Song Birds,https://www.allaboutbirds.org/guide/Mountain_Bluebird
Catharus fuscescens,Veery ,Song Birds,https://www.allaboutbirds.org/guide/veery
Catharus ustulatus,Swainson's Thrush ,Song Birds,https://www.allaboutbirds.org/guide/Swainsons_Thrush
Catharus guttatus,Hermit Thrush ,Song Birds,https://www.allaboutbirds.org/guide/Hermit_Thrush
Hylocichla mustelina,Wood Thrush ,Song Birds,https://www.allaboutbirds.org/guide/Wood_Thrush
Turdus migratorius,American Robin ,Song Birds,https://www.allaboutbirds.org/guide/American_Robin
Dumetella carolinensis,Gray Catbird ,Song Birds,https://www.allaboutbirds.org/guide/gray_catbird
Toxostoma rufum,Brown Thrasher ,Song Birds,https://www.allaboutbirds.org/guide/brown_thrasher
Mimus polyglottos,Northern Mockingbird ,Song Birds,https://www.allaboutbirds.org/guide/Northern_Mockingbird
Sturnus vulgaris,European Starling ,Song Birds,https://www.allaboutbirds.org/guide/European_Starling
