Common Name,Confidence,"Number of Instances, 60% Confidence","Number of Instances, 65% Confidence","Number of Instances, 70% Confidence","Number of Instances, 75% Confidence","Number of Instances, 80% Confidence","Number of Instances, 85% Confidence","Number of Instances, 90% Confidence","Number of Instances, 95% Confidence",Total Instances,Rare,List of Datetimes
Canada Goose,0.9059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,TBD,no,"[['20250521_052200', 1], ['20250521_062202', 13], ['20250521_072202', 3], ['20250523_082102', 3], ['20250525_061902', 4], ['20250525_071902', 7], ['20250526_051800', 1], ['20250530_061502', 1], ['20250601_061402', 1], ['20250601_071402', 1], ['20250601_081402', 9], ['20250601_213702', 65], ['20250602_051400', 3], ['20250602_071402', 11], ['20250604_214002', 8], ['20250607_204200', 20], ['20250613_061102', 5]]"
Cedar Waxwing,0.9491,0.0,0.0,0.0,4.0,2.0,5.0,3.0,3.0,TBD,no,"[['20250524_052000', 1], ['20250526_071802', 1], ['20250530_061502', 1], ['20250605_071202', 1], ['20250606_071202', 1], ['20250609_081102', 1], ['20250610_061102', 2], ['20250610_071102', 1], ['20250613_081102', 1], ['20250614_051000', 1], ['20250615_051000', 1], ['20250616_061002', 1], ['20250617_051100', 1], ['20250617_071102', 1], ['20250620_051100', 1], ['20250624_051200', 1]]"
Chimney Swift,0.6141,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,TBD,no,"[['20250518_052500', 2], ['20250519_072402', 1]]"
Chipping Sparrow,0.4752,0.0,0.0,1.0,8.0,4.0,2.0,3.0,2.0,TBD,no,"[['20250518_052500', 1], ['20250518_082502', 1], ['20250519_082402', 1], ['20250524_062002', 1], ['20250526_061802', 1], ['20250526_081802', 1], ['20250527_061702', 1], ['20250527_081702', 1], ['20250528_071702', 1], ['20250531_071502', 1], ['20250606_071202', 1], ['20250624_061202', 1], ['20250626_081302', 1], ['20250627_061302', 2], ['20250627_071302', 1], ['20250628_051400', 1], ['20250629_061402', 1], ['20250630_051500', 1], ['20250630_081502', 1]]"
Clay-colored Sparrow,0.9869,131.0,100.0,54.0,50.0,45.0,35.0,42.0,9.0,TBD,no,"[['20250518_052500', 1], ['20250523_052100', 9], ['20250524_052000', 9], ['20250524_062002', 1], ['20250524_072002', 1], ['20250524_082002', 1], ['20250525_061902', 2], ['20250525_071902', 1], ['20250525_081902', 2], ['20250526_061802', 3], ['20250526_081802', 1], ['20250528_061702', 1], ['20250528_081702', 2], ['20250604_081302', 1], ['20250605_081202', 2], ['20250606_061202', 1], ['20250606_071202', 1], ['20250606_081202', 4], ['20250607_051200', 1], ['20250607_071202', 3], ['20250607_081202', 2], ['20250607_204200', 1], ['20250608_061102', 4], ['20250608_071102', 1], ['20250610_061102', 2], ['20250610_071102', 2], ['20250610_081102', 3], ['20250611_051100', 4], ['20250611_061102', 4], ['20250611_071102', 12], ['20250611_081102', 18], ['20250612_071102', 4], ['20250612_081102', 5], ['20250613_051100', 12], ['20250613_061102', 10], ['20250613_071102', 9], ['20250613_081102', 7], ['20250613_204500', 1], ['20250614_051000', 8], ['20250614_061002', 16], ['20250614_071002', 9], ['20250614_081002', 7], ['20250614_204600', 1], ['20250615_051000', 9], ['20250615_061002', 5], ['20250615_071002', 7], ['20250615_081002', 5], ['20250615_204600', 1], ['20250616_051000', 6], ['20250616_061002', 5], ['20250616_071002', 2], ['20250616_081002', 3], ['20250616_204700', 2], ['20250617_051100', 5], ['20250617_061102', 9], ['20250617_071102', 4], ['20250617_081102', 12], ['20250618_051100', 3], ['20250618_061102', 5], ['20250618_071102', 5], ['20250618_081102', 10], ['20250619_051100', 5], ['20250619_061102', 12], ['20250619_081102', 1], ['20250620_051100', 3], ['20250620_061102', 2], ['20250621_061102', 2], ['20250621_071102', 2], ['20250621_081102', 1], ['20250623_051200', 1], ['20250623_061202', 6], ['20250623_071202', 3], ['20250623_081202', 4], ['20250623_204800', 4], ['20250624_051200', 2], ['20250624_061202', 8], ['20250624_071202', 9], ['20250624_081202', 5], ['20250624_204800', 5], ['20250625_051200', 3], ['20250625_061202', 2], ['20250625_071202', 9], ['20250625_081202', 10], ['20250625_204800', 3], ['20250626_051300', 1], ['20250626_061302', 5], ['20250626_071302', 2], ['20250626_081302', 3], ['20250626_204800', 1], ['20250627_051300', 10], ['20250627_061302', 6], ['20250627_071302', 7], ['20250627_081302', 4], ['20250627_204800', 5], ['20250628_051400', 3], ['20250628_061402', 3], ['20250628_071402', 1], ['20250628_081402', 2], ['20250628_204800', 4], ['20250629_051400', 2], ['20250629_081402', 5], ['20250630_051500', 2], ['20250630_061502', 3], ['20250630_071502', 2], ['20250630_081502', 5], ['20250630_204800', 1]]"
Cliff Swallow,0.9404,,,,,,,,,NA,no,NA
Common Grackle,0.9921,0.0,0.0,0.0,0.0,13.0,17.0,21.0,24.0,TBD,no,"[['20250515_052800', 1], ['20250517_052600', 1], ['20250519_052400', 1], ['20250522_062102', 2], ['20250523_052100', 1], ['20250523_062102', 2], ['20250523_072102', 1], ['20250525_051900', 4], ['20250526_051800', 1], ['20250526_071802', 1], ['20250527_051700', 4], ['20250528_051700', 1], ['20250528_071702', 1], ['20250528_081702', 1], ['20250529_071602', 1], ['20250530_071502', 2], ['20250531_051500', 3], ['20250531_071502', 1], ['20250601_051400', 2], ['20250602_051400', 1], ['20250602_061402', 1], ['20250602_071402', 1], ['20250603_061302', 1], ['20250603_203900', 1], ['20250604_051300', 1], ['20250604_071302', 5], ['20250606_204100', 1], ['20250607_051200', 1], ['20250608_061102', 1], ['20250609_081102', 1], ['20250610_061102', 3], ['20250612_051100', 1], ['20250612_081102', 1], ['20250613_061102', 3], ['20250614_051000', 1], ['20250615_051000', 2], ['20250615_081002', 1], ['20250616_081002', 1], ['20250617_061102', 1], ['20250618_071102', 2], ['20250618_204700', 7], ['20250619_051100', 1], ['20250619_204800', 2], ['20250623_081202', 1], ['20250625_081202', 1], ['20250627_051300', 1]]"
Common Loon,0.8545,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,TBD,no,"[['20250624_214802', 1], ['20250630_214802', 1]]"
Common Nighthawk,0.9031,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TBD,no,"[['20250614_204600', 1]]"
Common Raven,0.5307,,,,,,,,,NA,no,NA
